bathrooms,bedrooms,city,finishedSqFt,id,image,latitude,longitude,lotSizeSqFt,numFloors,numRooms,parkingType,price,school,state,street,useCode,yearBuilt,zipcode,zpid
2.0,4,EL CAJON,1315,98,https://photos.zillowstatic.com/p_d/ISib4yf9cnnfe60000000000.jpg,32.79638,-116.990829,8700,1,4,Garage - Attached,547961,Grossmont Middle College High School,CA,2031 Batchelder Ct,SingleFamily,1952,92020,17023800
2.0,3,EL CAJON,1999,99,https://photos.zillowstatic.com/p_d/ISu005a9qtnm580000000000.jpg,32.798423,-116.989222,10890,1,,,665315,Grossmont Middle College High School,CA,351 Aldwych Rd,SingleFamily,1950,92020,17023900
3.0,4,El Cajon,1503,100,https://photos.zillowstatic.com/p_d/IS6itw4nucihed1000000000.jpg,32.799038,-116.988082,21780,,,,563182,Grossmont Middle College High School,CA,386 Tyrone St,SingleFamily,1951,92020,17023906
2.0,3,EL CAJON,1446,101,https://photos.zillowstatic.com/p_d/IS6il2sa61hl9p0000000000.jpg,32.795401,-116.984815,12200,,7,Garage - Attached,586260,Grossmont Middle College High School,CA,1559 Chiswick Ct,SingleFamily,1963,92020,17024007
3.0,4,EL CAJON,3223,102,https://photos.zillowstatic.com/p_d/ISyjh6vogicjuu0000000000.jpg,32.795229,-116.98418,18100,1,10,Garage - Attached,823102,Grossmont Middle College High School,CA,1550 Chiswick Ct,SingleFamily,1966,92020,17024009
2.0,3,LA MESA,1818,103,https://photos.zillowstatic.com/p_d/IS6y9o9nlyufo81000000000.jpg,32.794953,-116.993195,13800,1,,Garage - Attached,623713,Grossmont Middle College High School,CA,6391 Falmouth Dr,SingleFamily,1953,91942,17024371
4.0,5,LA MESA,2489,104,https://photos.zillowstatic.com/p_d/ISy787848j4onb0000000000.jpg,32.79316,-116.993395,7501,2,9,"Garage - Attached, Off-street, On-street",614354,Grossmont Middle College High School,CA,6281 Falmouth Dr,SingleFamily,1980,91942,17024382
3.0,4,LA MESA,1893,105,https://photos.zillowstatic.com/p_d/ISqtrel1icecbj0000000000.jpg,32.794733,-116.991459,10890,2,8,Garage - Attached,620660,Grossmont Middle College High School,CA,6380 Henderson Dr,SingleFamily,1960,91942,17024442
2.0,3,LA MESA,2328,106,https://photos.zillowstatic.com/p_d/ISq1yko7czkn3r1000000000.jpg,32.787509,-116.988578,10890,,,,725260,Grossmont Middle College High School,CA,6027 Poppy St,SingleFamily,1982,91942,17024561
2.0,3,LA MESA,1500,107,https://photos.zillowstatic.com/p_d/ISu0onsisvmxcf0000000000.jpg,32.790554,-116.986607,10018,1,7,Garage - Attached,563629,Grossmont Middle College High School,CA,9810 Murray Dr,SingleFamily,1958,91942,17024588
2.0,4,EL CAJON,1958,108,https://photos.zillowstatic.com/p_d/ISecii8mv1edcc0000000000.jpg,32.794412,-116.986305,10890,1,9,Garage - Attached,621388,Grossmont Middle College High School,CA,156 S Westwind Dr,SingleFamily,1955,92020,17024594
3.0,4,CARLSBAD,2403,109,https://photos.zillowstatic.com/p_d/IS2fsmcif3g6vi0000000000.jpg,33.161698,-117.314739,7501,2,,Garage - Attached,782973,Sage Creek High School,CA,3828 Sierra Morena Ave,SingleFamily,1972,92010,16618931
2.5,3,CARLSBAD,1722,110,https://photos.zillowstatic.com/p_d/ISq986y7vx8cqy0000000000.jpg,33.167952,-117.311039,7501,,,,775329,Sage Creek High School,CA,3601 Pontiac Dr,SingleFamily,1979,92010,16619412
3.0,4,CARLSBAD,1921,111,https://photos.zillowstatic.com/p_d/ISqpwrjradin7o1000000000.jpg,33.166902,-117.312313,10890,2,11,Garage - Attached,819222,Sage Creek High School,CA,2721 Chestnut Ave,SingleFamily,1979,92010,16619432
2.0,2,CARLSBAD,1000,112,https://photos.zillowstatic.com/p_d/ISiz64p6r9d0qx0000000000.jpg,33.165545,-117.30314,3998,1,,Carport,457334,Sage Creek High School,CA,3732 Bennington Ct,Townhouse,1986,92010,16620219
2.5,4,CARLSBAD,1997,113,https://photos.zillowstatic.com/p_d/ISiboh884w5ksc1000000000.jpg,33.170299,-117.303328,7501,2,,,618147,Sage Creek High School,CA,2976 Greenwich St,Townhouse,1986,92010,16620617
